,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux,Calving_Front_Position,Grounding_Line_Position,Mass_Change
182,160406.1347,0.204424562,0.925200555,0.904828314,47210.00345,32.55400677,56.07312669,-4.298755521,-5.402242697
183,89133.83588,0.287230435,1.165136477,1.073836236,384195.0248,55.72074452,-61.55012073,-16.00765018,13.31666355
184,110014.0344,0.293697333,0.868803298,0.926544028,115821.4878,52.24638599,-59.08667451,-8.090094463,-13.54334724
185,138744.7816,0.197974576,1.033640033,1.094792154,416733.0655,28.60978187,38.85463086,-7.538933631,15.12863355
189,94173.4845,0.112537233,1.194548558,0.96499483,351394.5316,32.01147858,-96.34022417,-15.52909991,15.85799774
190,151508.0486,0.187076626,0.806427959,1.174205656,392787.7953,12.80865596,59.2717012,15.62309251,4.713140184
191,122859.6869,0.304574825,1.096203759,0.80495369,37702.89999,36.51765721,-84.83942232,-8.985794224,-7.522624639
192,138103.6719,0.306378949,0.85820038,1.161424938,127121.1948,56.25043541,46.35330071,-7.26955724,5.045654398
194,166448.5312,0.114455295,0.956539135,1.021853654,447601.6829,17.27873015,72.99795482,-0.977851229,6.126899208
198,123513.0009,0.196054601,0.820569599,0.938763411,325502.3849,20.32081536,-27.22374896,10.04505551,-16.53762236
199,151026.1087,0.295594039,1.082258266,1.082182153,219214.3744,43.22339251,55.11762115,-12.47396919,15.26536895
