year,sigma
2197,76.95472954926161
2198,77.16701886168727
2199,77.37872575844086
2200,77.58985500695306
2201,77.80041130996673
2202,78.01039930675908
2203,78.2198235743344
2204,78.42868862858793
2205,78.63699892544221
2206,78.84475886195607
2207,79.05197277740764
2208,79.25864495435182
2209,79.46477961965287
2210,79.67038094549316
2211,79.87545305035833
2212,80.08
2213,80.2840258083761
2214,80.48753443857005
2215,80.69052980368886
2216,80.89301576774103
2217,81.09499614649475
2218,81.29647470831684
2219,81.49745517499304
2220,81.6979412225302
2221,81.89793648194073
2222,82.09744454000989
2223,82.29646894004627
2224,82.49501318261606
2225,82.6930807262615
2226,82.89067498820359
2227,83.08779934503019
2228,83.28445713336912
2229,83.48065165054714
2230,83.67638615523498
2231,83.87166386807883
2232,84.06648797231867
2233,84.26086161439366
2234,84.45478790453505
2235,84.6482699173468
2236,84.84131069237438
2237,85.03391323466185
2238,85.22608051529765
2239,85.41781547194941
2240,85.60912100938778
2241,85.8
2242,85.99045528429303
2243,86.18048967138675
2244,86.37010593949738
2245,86.5593068364113
2246,86.74809507994974
2247,86.9364733584242
2248,87.12444433108311
2249,87.31201062854983
2250,87.49917485325219
2251,87.68593957984369
2252,87.87230735561687
2253,88.05828070090853
2254,88.24386210949744
2255,88.42905404899454
2256,88.6138589612257
2257,88.79827926260734
2258,88.98231734451514
2259,89.1659755736458
2260,89.34925629237212
2261,89.53216181909158
2262,89.71469444856845
2263,89.89685645226979
2264,90.07865007869512
2265,90.26007755370033
2266,90.44114108081564
2267,90.6218428415578
2268,90.80218499573675
2269,90.98216968175687
2270,91.16179901691278
2271,91.34107509767989
2272,91.52
2273,91.6985757795616
2274,91.87680447207553
2275,92.05468809354578
2276,92.2322286405354
2277,92.40942809042808
2278,92.58628840168505
2279,92.7628115140976
2280,92.93899934903538
2281,93.11485380969032
2282,93.29037678131651
2283,93.46557013146605
2284,93.64043571022083
2285,93.81497535042047
2286,93.98919086788649
2287,94.16308406164276
2288,94.33665671413208
2289,94.5099105914295
2290,94.68284744345196
2291,94.85546900416443
2292,95.02777699178277
2293,95.19977310897332
2294,95.37145904304913
2295,95.54283646616318
2296,95.71390703549824
2297,95.884672393454
2298,96.05513416783091
2299,96.22529397201133
2300,96.39515340513755
